,model_type,predictor,coef,se,z,p,variable,exp_coef
0,linear,gpt_surprisal,15.423723808180554,0.5143145584810873,29.988892116394805,1.3698631882829137e-197,IA_DWELL_TIME,
1,linear,gpt_surprisal,0.07600293873936113,0.009337094927661166,8.139891403931458,3.9563259358948747e-16,IA_DWELL_TIME_Z,
2,linear,gpt_surprisal,6.618235542360001,0.1496472708630269,44.22556792510913,0.0,IA_FIRST_FIXATION_DURATION,
3,linear,gpt_surprisal,0.05696259003889396,0.009371890600423552,6.078025498539174,1.2167141126873718e-09,IA_FIRST_FIXATION_DURATION_Z,
4,linear,gpt_surprisal,14.714437721987311,0.4672233159028376,31.49337205818573,1.0705250302278491e-217,IA_REGRESSION_PATH_DURATION,
5,linear,gpt_surprisal,0.04759708173618889,0.00285964689786758,16.644391225952308,3.3232852980567803e-62,IA_REGRESSION_PATH_DURATION_Z,
6,logistic,gpt_surprisal,-0.12192604974261813,0.0012241580047025117,-99.59992850126233,0.0,IA_SKIP,0.8852138278726378
7,logistic,gpt_surprisal,0.01235746889975032,0.0015509141120434446,7.96786153648988,1.6144360232489964e-15,IA_REGRESSION_IN,1.0124341379046822
8,logistic,gpt_surprisal,0.004867176307324423,0.0016530767812169868,2.944313514428067,0.003236719401471064,IA_REGRESSION_OUT,1.0048790402500853
9,poisson,gpt_surprisal,0.015241490324316981,0.001315407234421001,11.586898661862525,4.802067755571537e-31,IA_REGRESSION_IN_COUNT,1.0153582342007612
10,poisson,gpt_surprisal,0.0064761839611718434,0.0014526736746602114,4.458113390597967,8.268416255550124e-06,IA_REGRESSION_OUT_COUNT,1.0064971997834706
11,linear,bert_surprisal,8.47386178273798,0.28798519024034025,29.42464428697203,2.65792667254731e-190,IA_DWELL_TIME,
12,linear,bert_surprisal,0.04194475380316095,0.008942822857341968,4.690325915236566,2.727702180047491e-06,IA_DWELL_TIME_Z,
13,linear,bert_surprisal,3.2360685849529283,0.08614713301050606,37.56443739756579,8.18872881020216e-309,IA_FIRST_FIXATION_DURATION,
14,linear,bert_surprisal,0.028019813706239804,0.009116828486179987,3.0734167861898976,0.0021162269844089495,IA_FIRST_FIXATION_DURATION_Z,
15,linear,bert_surprisal,9.956604714436155,0.35079002844174223,28.38337440395546,3.2438399786986756e-177,IA_REGRESSION_PATH_DURATION,
16,linear,bert_surprisal,0.031925747685450666,0.00914195168109465,3.4922245051319174,0.00047901544800737594,IA_REGRESSION_PATH_DURATION_Z,
17,logistic,bert_surprisal,-0.0745396841748292,0.0008406850118321645,-88.66541347320988,0.0,IA_SKIP,0.9281706396421816
18,logistic,bert_surprisal,-0.010050066743341537,0.0009051427379106152,-11.103294897488317,1.2090288231750526e-28,IA_REGRESSION_IN,0.9900002664190941
19,logistic,bert_surprisal,0.02013280967691069,0.0007912893169015915,25.443044973415837,8.428568269807489e-143,IA_REGRESSION_OUT,1.020336841634872
20,poisson,bert_surprisal,-0.00585383699012655,0.0007775781507304443,-7.52829408160138,5.1407508167538903e-14,IA_REGRESSION_IN_COUNT,0.9941632633298607
21,poisson,bert_surprisal,0.01830327140939711,0.0006492861325800105,28.18983879521195,7.790291122363227e-175,IA_REGRESSION_OUT_COUNT,1.0184718029374036
